rank,variantIndex,recommendation,persona,context,metric
18,1,"Expand tracing around dispatch workflows, external integrations, and document processing. for Small (5-20) Intermodal operations",Dispatcher,"Global Supply Chain Crisis in North America",On-time Delivery Rate
18,2,"Expand tracing around dispatch workflows, external integrations, and document processing. for Medium (20-100) Air Freight operations",Fleet Manager,"Holiday Peak Season in EMEA",Empty Miles
18,3,"Expand tracing around dispatch workflows, external integrations, and document processing. for Enterprise (> 100) Ocean operations",Broker Agent,"Last-mile Delivery Surge in APAC",Carbon Footprint
18,4,"Expand tracing around dispatch workflows, external integrations, and document processing. for Micro (< 5) FTL operations",Compliance Officer,"Extreme Weather Event in LATAM",On-time Delivery Rate
18,5,"Expand tracing around dispatch workflows, external integrations, and document processing. for Small (5-20) LTL operations",Warehouse Supervisor,"Port Congestion in North America",Empty Miles
18,6,"Expand tracing around dispatch workflows, external integrations, and document processing. for Medium (20-100) Intermodal operations",Carrier Owner,"Carrier Shortage in EMEA",Carbon Footprint
18,7,"Expand tracing around dispatch workflows, external integrations, and document processing. for Enterprise (> 100) Air Freight operations",Driver,"Global Supply Chain Crisis in APAC",On-time Delivery Rate
18,8,"Expand tracing around dispatch workflows, external integrations, and document processing. for Micro (< 5) Ocean operations",Audit Specialist,"Holiday Peak Season in LATAM",Empty Miles
18,9,"Expand tracing around dispatch workflows, external integrations, and document processing. for Small (5-20) FTL operations",Dispatcher,"Last-mile Delivery Surge in North America",Carbon Footprint
18,10,"Expand tracing around dispatch workflows, external integrations, and document processing. for Medium (20-100) LTL operations",Fleet Manager,"Extreme Weather Event in EMEA",On-time Delivery Rate
19,1,"Build exception management queues for late pickup, detention, failed delivery, and missed check calls. for Small (5-20) Intermodal operations",Dispatcher,"Holiday Peak Season in North America",On-time Delivery Rate
19,2,"Build exception management queues for late pickup, detention, failed delivery, and missed check calls. for Medium (20-100) Air Freight operations",Fleet Manager,"Last-mile Delivery Surge in EMEA",Empty Miles
19,3,"Build exception management queues for late pickup, detention, failed delivery, and missed check calls. for Enterprise (> 100) Ocean operations",Broker Agent,"Extreme Weather Event in APAC",Carbon Footprint
19,4,"Build exception management queues for late pickup, detention, failed delivery, and missed check calls. for Micro (< 5) FTL operations",Compliance Officer,"Port Congestion in LATAM",On-time Delivery Rate
19,5,"Build exception management queues for late pickup, detention, failed delivery, and missed check calls. for Small (5-20) LTL operations",Warehouse Supervisor,"Carrier Shortage in North America",Empty Miles
19,6,"Build exception management queues for late pickup, detention, failed delivery, and missed check calls. for Medium (20-100) Intermodal operations",Carrier Owner,"Global Supply Chain Crisis in EMEA",Carbon Footprint
19,7,"Build exception management queues for late pickup, detention, failed delivery, and missed check calls. for Enterprise (> 100) Air Freight operations",Driver,"Holiday Peak Season in APAC",On-time Delivery Rate
19,8,"Build exception management queues for late pickup, detention, failed delivery, and missed check calls. for Micro (< 5) Ocean operations",Audit Specialist,"Last-mile Delivery Surge in LATAM",Empty Miles
19,9,"Build exception management queues for late pickup, detention, failed delivery, and missed check calls. for Small (5-20) FTL operations",Dispatcher,"Extreme Weather Event in North America",Carbon Footprint
19,10,"Build exception management queues for late pickup, detention, failed delivery, and missed check calls. for Medium (20-100) LTL operations",Fleet Manager,"Port Congestion in EMEA",On-time Delivery Rate
20,1,"Introduce customer-facing shipment visibility portals with branded tracking pages. for Small (5-20) Intermodal operations",Dispatcher,"Last-mile Delivery Surge in North America",On-time Delivery Rate
20,2,"Introduce customer-facing shipment visibility portals with branded tracking pages. for Medium (20-100) Air Freight operations",Fleet Manager,"Extreme Weather Event in EMEA",Empty Miles
20,3,"Introduce customer-facing shipment visibility portals with branded tracking pages. for Enterprise (> 100) Ocean operations",Broker Agent,"Port Congestion in APAC",Carbon Footprint
20,4,"Introduce customer-facing shipment visibility portals with branded tracking pages. for Micro (< 5) FTL operations",Compliance Officer,"Carrier Shortage in LATAM",On-time Delivery Rate
20,5,"Introduce customer-facing shipment visibility portals with branded tracking pages. for Small (5-20) LTL operations",Warehouse Supervisor,"Global Supply Chain Crisis in North America",Empty Miles
20,6,"Introduce customer-facing shipment visibility portals with branded tracking pages. for Medium (20-100) Intermodal operations",Carrier Owner,"Holiday Peak Season in EMEA",Carbon Footprint
20,7,"Introduce customer-facing shipment visibility portals with branded tracking pages. for Enterprise (> 100) Air Freight operations",Driver,"Last-mile Delivery Surge in APAC",On-time Delivery Rate
20,8,"Introduce customer-facing shipment visibility portals with branded tracking pages. for Micro (< 5) Ocean operations",Audit Specialist,"Extreme Weather Event in LATAM",Empty Miles
20,9,"Introduce customer-facing shipment visibility portals with branded tracking pages. for Small (5-20) FTL operations",Dispatcher,"Port Congestion in North America",Carbon Footprint
20,10,"Introduce customer-facing shipment visibility portals with branded tracking pages. for Medium (20-100) LTL operations",Fleet Manager,"Carrier Shortage in EMEA",On-time Delivery Rate
21,1,"Show full action histories for status changes, pricing edits, and user interventions. for Small (5-20) Intermodal operations",Dispatcher,"Extreme Weather Event in North America",On-time Delivery Rate
21,2,"Show full action histories for status changes, pricing edits, and user interventions. for Medium (20-100) Air Freight operations",Fleet Manager,"Port Congestion in EMEA",Empty Miles
21,3,"Show full action histories for status changes, pricing edits, and user interventions. for Enterprise (> 100) Ocean operations",Broker Agent,"Carrier Shortage in APAC",Carbon Footprint
21,4,"Show full action histories for status changes, pricing edits, and user interventions. for Micro (< 5) FTL operations",Compliance Officer,"Global Supply Chain Crisis in LATAM",On-time Delivery Rate
21,5,"Show full action histories for status changes, pricing edits, and user interventions. for Small (5-20) LTL operations",Warehouse Supervisor,"Holiday Peak Season in North America",Empty Miles
21,6,"Show full action histories for status changes, pricing edits, and user interventions. for Medium (20-100) Intermodal operations",Carrier Owner,"Last-mile Delivery Surge in EMEA",Carbon Footprint
21,7,"Show full action histories for status changes, pricing edits, and user interventions. for Enterprise (> 100) Air Freight operations",Driver,"Extreme Weather Event in APAC",On-time Delivery Rate
21,8,"Show full action histories for status changes, pricing edits, and user interventions. for Micro (< 5) Ocean operations",Audit Specialist,"Port Congestion in LATAM",Empty Miles
21,9,"Show full action histories for status changes, pricing edits, and user interventions. for Small (5-20) FTL operations",Dispatcher,"Carrier Shortage in North America",Carbon Footprint
21,10,"Show full action histories for status changes, pricing edits, and user interventions. for Medium (20-100) LTL operations",Fleet Manager,"Global Supply Chain Crisis in EMEA",On-time Delivery Rate
22,1,"Build ROI calculators around reduced empty miles, faster billing, and fewer service failures. for Small (5-20) Intermodal operations",Dispatcher,"Port Congestion in North America",On-time Delivery Rate
22,2,"Build ROI calculators around reduced empty miles, faster billing, and fewer service failures. for Medium (20-100) Air Freight operations",Fleet Manager,"Carrier Shortage in EMEA",Empty Miles
22,3,"Build ROI calculators around reduced empty miles, faster billing, and fewer service failures. for Enterprise (> 100) Ocean operations",Broker Agent,"Global Supply Chain Crisis in APAC",Carbon Footprint
22,4,"Build ROI calculators around reduced empty miles, faster billing, and fewer service failures. for Micro (< 5) FTL operations",Compliance Officer,"Holiday Peak Season in LATAM",On-time Delivery Rate
22,5,"Build ROI calculators around reduced empty miles, faster billing, and fewer service failures. for Small (5-20) LTL operations",Warehouse Supervisor,"Last-mile Delivery Surge in North America",Empty Miles
22,6,"Build ROI calculators around reduced empty miles, faster billing, and fewer service failures. for Medium (20-100) Intermodal operations",Carrier Owner,"Extreme Weather Event in EMEA",Carbon Footprint
22,7,"Build ROI calculators around reduced empty miles, faster billing, and fewer service failures. for Enterprise (> 100) Air Freight operations",Driver,"Port Congestion in APAC",On-time Delivery Rate
22,8,"Build ROI calculators around reduced empty miles, faster billing, and fewer service failures. for Micro (< 5) Ocean operations",Audit Specialist,"Carrier Shortage in LATAM",Empty Miles
22,9,"Build ROI calculators around reduced empty miles, faster billing, and fewer service failures. for Small (5-20) FTL operations",Dispatcher,"Global Supply Chain Crisis in North America",Carbon Footprint
22,10,"Build ROI calculators around reduced empty miles, faster billing, and fewer service failures. for Medium (20-100) LTL operations",Fleet Manager,"Holiday Peak Season in EMEA",On-time Delivery Rate
23,1,"Create onboarding journeys by fleet size, revenue band, and logistics maturity. for Small (5-20) Intermodal operations",Dispatcher,"Carrier Shortage in North America",On-time Delivery Rate
23,2,"Create onboarding journeys by fleet size, revenue band, and logistics maturity. for Medium (20-100) Air Freight operations",Fleet Manager,"Global Supply Chain Crisis in EMEA",Empty Miles
23,3,"Create onboarding journeys by fleet size, revenue band, and logistics maturity. for Enterprise (> 100) Ocean operations",Broker Agent,"Holiday Peak Season in APAC",Carbon Footprint
23,4,"Create onboarding journeys by fleet size, revenue band, and logistics maturity. for Micro (< 5) FTL operations",Compliance Officer,"Last-mile Delivery Surge in LATAM",On-time Delivery Rate
23,5,"Create onboarding journeys by fleet size, revenue band, and logistics maturity. for Small (5-20) LTL operations",Warehouse Supervisor,"Extreme Weather Event in North America",Empty Miles
